name,x,y
#10 LFNE Salon Eyguieres,5.01305,43.65833333333333
#12 LFJE La Motte Chalancon,5.403333333333333,44.49666666666667
#14 Cereste LF8421,5.54945,43.852783333333335
#16 LFNF Vinon,5.783616666666667,43.73778333333333
#18 StCroix LF0429,6.159716666666666,43.77805
#20 LFTP Puimoisson,6.164166666666667,43.87028333333333
#22 LFMF Fayence,6.69695,43.61055
#24 LFNJ Aspres Sur Buech,5.73555,44.51833333333333
#26 LFTM Serres La Batie,5.727783333333333,44.458333333333336
#28 LFNA Gap Tallard,6.037216666666667,44.455
#32 LFNS Sisteron,5.929716666666667,44.2875
#34 Motte du Caire LF0431,6.030833333333334,44.32528333333333
#36 LFMX St Auban,5.990833333333334,44.06
#38 Seyne LF0430,6.3727833333333335,44.342216666666666
#4 LFHD Pierrelatte,4.7175,44.39888333333333
#40 LFNC St Crepin,6.599716666666667,44.70166666666667
#42 LFMR Barcelonnette,6.6097166666666665,44.388333333333335
#44 Valsusa,7.287166666666667,45.1125
#46 LFHE Romans,5.102783333333333,45.066116666666666
#48 LFKE St Jean en Royans,5.31,45.02778333333333
#50 LFLU Valence Chabeuil,4.968616666666667,44.91555
#52 LFJF Aubenasson,5.15055,44.695
#54 Aix en Diois,5.409166666666667,44.689166666666665
#56 LFLI Annemasse,6.268883333333333,46.19195
#57 Habere Poche LF7469,6.463333333333333,46.26971666666667
#58 LFLP Annecy,6.1063833333333335,45.93083333333333
#6 LFNV Valreas Visan,4.90695,44.33583333333333
#60 LFLB Chambery Aix Les Bains,5.88,45.63916666666667
#62 LFLE Challes les eaux,5.976383333333334,45.56138333333333
#64 LFLG Grenoble Versoud,5.849166666666667,45.219166666666666
#66 LFKA Albertville,6.329166666666667,45.62721666666667
#68 LFKD Sollieres Sardieres,6.80055,45.25445
#7 LFNH Carpentras,5.090283333333334,44.02333333333333
#70 LFKR St Remy de Maurienne,6.28195,45.36945
#72 Prealpi-Musine,7.521833333333333,45.12433333333333
#73 Busano,7.665333333333333,45.31016666666667
#74 Canavese,7.719666666666667,45.358333333333334
#75 Montalto Dora,7.843833333333333,45.48716666666667
#76 LIMW Aoste,7.3675,45.73833333333333
#77 Chatelair,7.48,45.74016666666667
#78 LSGS Sion,7.328883333333334,46.22
#8 LFNT Avignon,4.75445,43.996116666666666
#9 LFNZ St Remy,4.89305,43.768883333333335
110 Remoulins ULM,4.58195,43.943333333333335
111 Tarascon ULM,4.69695,43.788333333333334
112 Eygalieres,4.992216666666667,43.78333333333333
113 Isle Sorgue,5.08305,43.91695
114 Orgon-Cheval Blanc,5.06525,43.78875
120 Gordes ZA,5.251666666666667,43.9125
122 Bonnieux ZA,5.291666666666667,43.833333333333336
124 Mallemort,5.181666666666667,43.74041666666667
126 Lourmarin,5.39945,43.75888333333333
127 Banon,5.666666666666667,44.06666666666667
128 Vitrolles en Luberon,5.593333333333334,43.788
130 Rosans,5.471666666666667,44.38138333333333
131 Sederon,5.574716666666666,44.22055
132 Sainte Jalle,5.30305,44.33445
133 Curnier,5.22,44.38966666666666
135 Methamis,5.183333333333334,44.00666666666667
210 Quinson,6.071383333333333,43.68333333333333
211 Artignosc,6.135,43.68471666666667
212 Bauden,6.2091666666666665,43.69166666666667
213 Aups,6.18305,43.625283333333336
214 Trets ULM,5.711383333333333,43.48055
220 Thorame Haute,6.5602833333333335,44.095283333333334
221 Thorame basse,6.473616666666667,44.07695
222 La Mure,6.531116666666667,43.98195
223 Soleihas,6.64695,43.85361666666667
224 Mousteiret,6.635,43.79861666666667
225 Logis du Pin,6.641116666666667,43.7775
226 Caille,6.736383333333333,43.78138333333333
227 La chapelle,6.691666666666666,43.76971666666667
228 Trigance,6.45555,43.75445
229 Palud Verdon,6.35305,43.779716666666666
231 Ampus,6.348883333333333,43.61695
232 Flayosc - ULM,6.317783333333334,43.53805
310 La Faurie,5.758883333333333,44.56361666666667
311 Montmaur,5.857216666666667,44.56055
312 Valenty,5.93,44.36
313 Laragne ULM,5.79195,44.32055
314 Nossage,5.744166666666667,44.31555
315 Chabottes,6.183883333333333,44.65445
316 Domaine de Malcor,6.103883333333333,44.475
317 Espinasses,6.218333333333334,44.46055
318 Montgardin,6.213616666666667,44.54971666666667
320 Bayons,6.163333333333333,44.33583333333333
321 Noyer sur Jabron,5.841666666666667,44.17
322 Volonne,6.0,44.10166666666667
323 Salignac,5.98,44.138333333333335
324 Thoard,6.128333333333333,44.1175
325 Mallemoisson,6.083333333333333,44.03
330 Selonnet 1,6.31,44.36833333333333
330 Selonnet 2,6.331666666666667,44.346666666666664
331 Marcoux,6.281116666666667,44.147216666666665
332 Barreme,6.386666666666667,43.9925
410 Oulx,6.838883333333333,45.041666666666664
411 Le Casset,6.493883333333334,44.98278333333333
412 St Blaise,6.61,44.87278333333333
413 Le Rosier,6.680833333333333,44.93528333333333
420 Roche de Rame,6.575,44.74333333333333
421 Chateauroux,6.531666666666666,44.600833333333334
422 Crots,6.4336166666666665,44.535833333333336
423 Prunieres,6.363333333333333,44.534166666666664
510 Saou,5.062783333333333,44.63666666666667
511 Die ZA,5.3533333333333335,44.76833333333333
513 Luc en Diois,5.473883333333333,44.5925
515 Lus la croix haute,5.7125,44.661
520 Vif,5.681666666666667,45.07666666666667
521 Vizille,5.7775,45.08
522 Grisail,5.62095,44.94016666666667
523 St Jean Herans,5.7725,44.852783333333335
524 Pellafol,5.904716666666666,44.80305
525 Montmeilleur,5.763333333333334,44.79333333333334
526 Prebois,5.688616666666666,44.79083333333333
527 Bourg Oisans,6.03195,45.064166666666665
529 Chauffayer,6.007333333333333,44.747166666666665
610 Bernex,6.6475,46.35888333333333
611 Megevette,6.501666666666667,46.20945
612 St Jeoire,6.47,46.14333333333333
613 Taninges,6.645833333333333,46.09471666666666
614 Samoens,6.740833333333334,46.07111666666667
615 Bonneville,6.365,46.07138333333333
620 Doussard,6.2225,45.776666666666664
622 Motte en Bauges,6.121666666666667,45.708333333333336
623 Ecole en bauges,6.166666666666667,45.641666666666666
624 Francin-Montmelian,6.038333333333333,45.49
630 Les Echelles,5.76445,45.430283333333335
